,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kalana Greene,5,8,5,8,0,0,2,2,1,7,2,5,0,4,1,12,0.25,0.5
1,Maya Moore,7,13,3,6,4,7,3,6,3,5,8,3,0,3,1,21,0.23076923076923078,2.6666666666666665
2,Tina Charles,9,10,9,10,0,0,4,4,1,10,2,0,3,2,0,22,0.4,1.0
3,Tiffany Hayes,2,5,1,3,1,2,7,8,1,1,7,0,1,3,2,12,1.4,2.3333333333333335
4,Caroline Doty,3,4,1,2,2,2,0,0,1,2,1,0,0,2,2,8,0.0,0.5
11,School Totals,32,52,23,36,9,16,22,26,10,38,27,10,7,19,9,95,0.4230769230769231,1.4210526315789473
