,Auburn ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Frerking,3,11,3,6,0,5,0,2,0,6,6,2,0,2,2,6,0.0,3.0
1,Janiah McKay,9,14,7,12,2,2,4,6,0,2,4,3,1,3,0,24,0.2857142857142857,1.3333333333333333
2,Brandy Montgomery,5,16,4,11,1,5,0,0,2,2,2,0,0,2,2,11,0.0,1.0
3,Tra'Cee Tanner,2,7,2,7,0,0,2,2,3,5,1,2,1,5,4,6,0.2857142857142857,0.2
4,Jazmine Jones,6,7,6,7,0,0,1,6,3,1,2,3,0,1,4,13,0.14285714285714285,2.0
9,School Totals,27,58,24,46,3,12,11,22,12,18,17,13,4,17,17,57,0.1896551724137931,1.0
