,Fresno State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jaleesa Ross,4,17,3,6,1,11,0,0,4,3,3,0,0,6,3,9,0.0,0.5
1,Rosie Moult,3,8,1,3,2,5,0,0,4,1,2,4,0,1,1,8,0.0,2.0
2,LaShay Fears,1,3,1,3,0,0,1,1,2,2,1,0,0,4,1,3,0.3333333333333333,0.25
3,Hayley Munro,5,13,2,5,3,8,0,0,2,3,1,0,0,0,4,13,0.0,0.0
4,Joh-Teena Filipe,1,9,1,6,0,3,0,0,2,2,3,0,0,2,5,2,0.0,1.5
11,School Totals,21,61,11,27,10,34,3,5,15,19,12,4,1,18,18,55,0.04918032786885246,0.6666666666666666
