,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nyeshia Stevenson,39,.800,.794,.412,.294,0.0,4.6,3.1,15.6,6.8,0.0,20.7,30.2,133,89
1,Amanda Thompson,39,.659,.591,.364,.364,14.7,25.1,21.8,4.0,0.0,0.0,19.0,19.7,125,88
2,Danielle Robinson,33,.620,.545,.000,.364,5.8,10.8,9.2,29.4,3.2,0.0,32.0,27.7,106,92
3,Abi Olajuwon,23,.600,.600,.000,.000,16.6,3.9,7.9,0.0,0.0,3.3,28.6,14.8,98,103
4,Jasmine Hartman,22,.667,.667,.333,.000,0.0,4.0,2.8,6.4,2.4,0.0,40.0,11.1,85,99
6,Carlee Roethlisberger,27,.510,.333,.667,1.333,14.1,9.9,11.2,14.6,0.0,2.8,17.4,10.4,130,99
7,Joanna McFarland,12,1.053,,,,0.0,29.6,20.2,0.0,0.0,0.0,36.2,11.2,150,85
8,Lyndsey Cloman,3,1.000,1.000,.000,.000,0.0,29.6,20.2,71.4,0.0,0.0,50.0,32.4,111,85
9,Kodi Morrison,1,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,300,107
10,Lauren Willis,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107
11,School Totals,200,.710,.663,.288,.404,38.1,60.0,53.0,46.9,10.5,3.8,25.3,100.0,115.8,89.5
