,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Marina Mabrey,9,15,2,4,7,11,0,0,0,0,9,3,0,3,2,25,0.0,3.0
1,Jessica Shepard,6,13,6,13,0,0,1,2,2,8,3,1,2,1,0,13,0.07692307692307693,3.0
2,Arike Ogunbowale,10,23,7,18,3,5,4,4,2,4,5,0,0,1,3,27,0.17391304347826086,5.0
3,Jackie Young,7,13,7,11,0,2,1,2,3,5,5,0,0,0,3,15,0.07692307692307693,0.0
4,Kathryn Westbeld,2,3,2,3,0,0,0,0,2,4,3,1,0,1,4,4,0.0,3.0
7,School Totals,37,70,27,52,10,18,6,8,9,24,26,5,3,8,15,90,0.08571428571428572,3.25
