,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chennedy Carter,10,25,7,18,3,7,8,13,1,1,7,0,0,4,3,31,0.32,1.75
1,Danni Williams,2,5,0,1,2,4,0,0,0,3,4,0,0,0,2,6,0.0,0.0
2,Khaalia Hillsman,6,11,6,11,0,0,1,3,3,3,3,0,3,1,1,13,0.09090909090909091,3.0
3,Jasmine Lumpkin,3,6,3,6,0,0,2,4,2,3,2,0,1,2,4,8,0.3333333333333333,1.0
4,Anriel Howard,12,21,10,18,2,3,0,0,8,6,1,2,1,2,4,26,0.0,0.5
9,School Totals,33,71,26,56,7,15,11,20,14,18,17,3,6,10,14,84,0.15492957746478872,1.7
