,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsay Allen,3,12,3,9,0,3,2,2,5,2,7,1,0,5,1,8,0.16666666666666666,1.4
1,Jewell Loyd,4,18,4,15,0,3,4,4,1,4,1,1,1,0,1,12,0.2222222222222222,0.0
2,Brianna Turner,7,9,7,9,0,0,0,0,4,6,0,1,1,2,0,14,0.0,0.0
3,Taya Reimer,3,11,3,11,0,0,0,0,3,8,2,1,2,6,2,6,0.0,0.3333333333333333
4,Michaela Mabrey,3,5,0,2,3,3,0,0,0,1,0,0,0,1,2,9,0.0,0.0
8,School Totals,21,63,18,52,3,11,8,8,15,22,11,5,4,17,9,53,0.12698412698412698,0.6470588235294118
