,Jackson State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keshuna Luckett,5,12,4,6,1,6,4,6,0,1,2,2,0,5,1,15,0.3333333333333333,0.4
1,J'Niya Tallie,0,3,0,3,0,0,0,0,2,2,1,1,0,4,2,0,0.0,0.25
2,Ameshya Williams-Holliday,7,18,7,16,0,2,0,2,8,6,0,3,3,2,4,14,0.0,0.0
3,Dayzsha Rogan,4,17,4,12,0,5,2,4,0,2,0,3,0,2,2,10,0.11764705882352941,0.0
4,Cherelle Jones,1,1,1,1,0,0,0,0,0,2,1,2,2,2,1,2,0.0,0.5
13,School Totals,21,68,19,49,2,19,8,18,13,21,7,13,5,20,19,52,0.11764705882352941,0.35
