,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,NaLyssa Smith,8,9,8,9,0,0,2,4,1,9,2,3,1,3,0,18,0.2222222222222222,0.6666666666666666
1,Moon Ursin,9,14,6,10,3,4,3,4,2,4,3,1,2,2,2,24,0.21428571428571427,1.5
2,Queen Egbo,2,5,2,5,0,0,6,6,1,3,0,3,1,3,0,10,1.2,0.0
3,DiDi Richards,2,5,2,5,0,0,0,0,0,3,4,0,0,1,0,4,0.0,4.0
4,Trinity Oliver,2,4,2,4,0,0,1,2,2,2,1,0,0,2,2,5,0.25,0.5
11,School Totals,38,77,32,62,6,15,19,27,18,36,17,15,8,16,15,101,0.24675324675324675,1.0625
