,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Atonye Nyingifa,1,4,1,4,0,0,2,2,4,7,1,3,0,3,2,4,0.5,0.3333333333333333
1,Doreena Campbell,5,10,5,8,0,2,1,2,0,1,0,1,1,2,2,11,0.1,0.0
2,Jasmine Dixon,4,9,4,9,0,0,7,12,5,4,1,5,1,3,4,15,0.7777777777777778,0.3333333333333333
3,Markel Walker,2,2,2,2,0,0,5,8,1,2,3,4,1,5,4,9,2.5,0.6
4,Darxia Morris,2,7,2,5,0,2,0,1,1,1,0,1,0,5,0,4,0.0,0.0
9,School Totals,17,40,16,33,1,7,20,33,11,19,6,19,5,18,14,55,0.5,0.3333333333333333
