,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Griffin,7,15,7,15,0,0,8,8,4,5,3,2,0,1,2,22,0.5333333333333333,3.0
1,Lindsey Moore,3,5,1,1,2,4,2,2,0,2,5,2,0,0,1,10,0.4,0.0
2,Cory Montgomery,3,7,2,5,1,2,2,3,2,2,5,1,0,3,2,9,0.2857142857142857,1.6666666666666667
3,Yvonne Turner,2,6,0,0,2,6,0,0,0,1,2,2,0,0,2,6,0.0,0.0
4,Dominique Kelley,4,10,3,8,1,2,2,2,0,4,2,1,0,2,1,11,0.2,1.0
12,School Totals,26,61,16,41,10,20,21,25,9,31,20,10,3,10,14,83,0.3442622950819672,2.0
