,Northern Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nicole Clausen,1,4,0,0,1,4,2,2,0,3,1,1,0,0,2,5,0.5,0.0
1,Jacqui Kalin,1,12,1,4,0,8,0,0,0,3,3,0,0,2,2,2,0.0,1.5
2,Lizzie Boeck,4,9,4,8,0,1,2,2,4,4,0,0,0,2,2,10,0.2222222222222222,0.0
3,Danielle Wubbens,3,5,2,3,1,2,0,0,2,1,0,1,0,0,1,7,0.0,0.0
4,Erin Brocka,2,6,2,5,0,1,0,0,0,1,1,1,2,5,4,4,0.0,0.2
14,School Totals,17,58,15,35,2,23,8,11,9,21,8,4,3,17,21,44,0.13793103448275862,0.47058823529411764
