,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ali Patberg,4,9,4,6,0,3,2,2,0,5,7,3,0,4,2,10,0.2222222222222222,1.75
1,Bendu Yeaney,7,13,6,10,1,3,2,2,1,5,3,3,0,3,3,17,0.15384615384615385,1.0
2,Jaelynn Penn,10,21,6,14,4,7,0,0,0,4,0,2,0,2,4,24,0.0,0.0
3,Brenna Wise,3,10,1,3,2,7,2,2,1,1,1,0,1,1,2,10,0.2,1.0
4,Kym Royster,2,4,2,4,0,0,0,0,1,1,0,0,0,1,3,4,0.0,0.0
9,School Totals,28,63,21,41,7,22,6,6,3,18,11,10,1,13,17,69,0.09523809523809523,0.8461538461538461
