,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danni Williams,5,11,3,5,2,6,3,3,2,1,1,2,0,3,3,15,0.2727272727272727,0.3333333333333333
1,Jatarie White,6,11,6,11,0,0,1,3,3,4,0,0,1,4,0,13,0.09090909090909091,0.0
2,Joyner Holmes,6,14,6,13,0,1,0,2,5,7,2,0,0,3,3,12,0.0,0.6666666666666666
3,Sug Sutton,3,8,3,6,0,2,2,2,2,6,6,0,0,6,4,8,0.25,1.0
4,Audrey Warren,1,3,0,1,1,2,0,0,0,0,0,0,0,5,2,3,0.0,0.0
8,School Totals,26,63,21,46,5,17,8,14,18,26,11,3,2,23,15,65,0.12698412698412698,0.4782608695652174
