,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ka'lia Johnson,0,3,0,3,0,0,0,0,0,4,3,3,1,2,3,0,0.0,1.5
1,Rebecca Greenwell,7,13,1,2,6,11,0,0,0,3,1,1,0,6,1,20,0.0,0.16666666666666666
2,Elizabeth Williams,2,9,2,9,0,0,5,10,6,6,3,2,9,3,3,9,0.5555555555555556,1.0
3,Amber Henson,3,5,2,4,1,1,0,0,0,10,3,1,1,4,3,7,0.0,0.75
4,Azura Stevens,5,10,5,10,0,0,1,2,3,6,2,1,0,6,1,11,0.1,0.3333333333333333
8,School Totals,20,45,13,33,7,12,7,15,11,32,13,8,11,26,13,54,0.15555555555555556,0.5
