,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Imani Tate,7,21,7,21,0,0,3,5,3,3,1,8,1,1,4,17,0.14285714285714285,1.0
1,Margarita Rosario,2,7,0,0,2,7,0,0,0,2,4,2,0,2,2,6,0.0,2.0
2,Shereesha Richards,5,17,5,17,0,0,2,2,2,3,1,1,0,3,3,12,0.11764705882352941,0.3333333333333333
3,Sarah Royals,1,5,1,3,0,2,4,5,0,1,4,3,0,2,5,6,0.8,2.0
4,Tiana-Jo Carter,1,4,1,4,0,0,1,2,4,6,1,0,0,1,3,3,0.25,1.0
8,School Totals,19,63,15,48,4,15,10,14,11,16,14,16,1,11,17,52,0.15873015873015872,1.2727272727272727
