,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Morgan William,1,6,1,5,0,1,3,4,1,7,6,1,0,1,0,5,0.5,6.0
1,Teaira McCowan,12,18,12,18,0,0,2,2,8,4,2,0,6,2,2,26,0.1111111111111111,1.0
2,Blair Schaefer,4,12,2,7,2,5,0,0,1,3,0,0,0,0,1,10,0.0,0.0
3,Ketara Chapel,3,5,3,5,0,0,0,0,2,1,1,0,0,0,2,6,0.0,0.0
4,Roshunda Johnson,2,3,1,1,1,2,0,0,0,0,1,0,0,0,1,5,0.0,0.0
11,School Totals,31,75,28,59,3,16,10,12,17,25,17,4,9,7,17,75,0.13333333333333333,2.4285714285714284
