,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,10,25,7,17,3,8,6,7,0,5,5,0,0,4,3,29,0.24,1.25
1,Chantel Osahor,7,16,6,11,1,5,2,4,4,7,1,2,0,4,4,17,0.125,0.25
2,Natalie Romeo,3,6,1,1,2,5,0,0,0,0,0,0,0,0,0,8,0.0,0.0
3,Aari McDonald,3,8,1,5,2,3,0,0,1,2,2,1,1,2,4,8,0.0,1.0
4,Katie Collier,1,2,1,2,0,0,0,0,2,3,0,0,1,0,3,2,0.0,0.0
10,School Totals,24,62,16,40,8,22,8,11,8,18,8,3,2,10,14,64,0.12903225806451613,0.8
