,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'ja Wilson,5,11,5,11,0,0,3,8,8,11,4,2,3,6,3,13,0.2727272727272727,0.6666666666666666
1,Allisha Gray,7,14,6,10,1,4,3,3,4,4,2,0,1,0,2,18,0.21428571428571427,0.0
2,Kaela Davis,2,15,2,13,0,2,2,2,1,2,2,1,1,2,1,6,0.13333333333333333,1.0
3,Tyasha Harris,3,10,2,7,1,3,3,4,0,3,1,1,0,0,2,10,0.3,0.0
4,Bianca Cuevas-Moore,3,6,2,4,1,2,0,0,1,2,0,2,0,0,1,7,0.0,0.0
7,School Totals,23,63,20,50,3,13,13,21,18,23,10,6,5,13,11,62,0.20634920634920634,0.7692307692307693
