,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Charise Wilson,2,8,1,4,1,4,0,0,1,2,4,2,1,3,2,5,0.0,1.3333333333333333
1,Zipporah Broughton,3,10,2,3,1,7,1,1,0,3,6,1,0,0,0,8,0.1,0.0
2,Stasha Carey,9,13,9,13,0,0,2,3,5,6,1,1,0,1,2,20,0.15384615384615385,1.0
3,Arella Guirantes,6,17,6,12,0,5,2,4,0,1,4,3,0,6,3,14,0.11764705882352941,0.6666666666666666
4,Victoria Harris,3,4,3,4,0,0,0,0,2,1,0,0,1,1,5,6,0.0,0.0
9,School Totals,29,68,25,47,4,21,9,15,11,17,17,9,2,14,20,71,0.1323529411764706,1.2142857142857142
