,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erin Boley,9,13,5,7,4,6,0,0,1,2,4,3,0,2,1,22,0.0,2.0
1,Taylor Mikesell,2,3,1,1,1,2,0,0,0,4,0,1,0,7,2,5,0.0,0.0
2,Nyara Sabally,8,12,8,12,0,0,1,1,0,5,3,1,2,3,2,17,0.08333333333333333,1.0
3,Sedona Prince,5,6,5,6,0,0,2,2,1,6,3,3,2,1,5,12,0.3333333333333333,3.0
4,Maddie Scherr,1,5,1,4,0,1,0,0,1,4,2,2,0,4,2,2,0.0,0.5
11,School Totals,27,45,21,33,6,12,7,7,6,27,15,11,6,21,16,67,0.15555555555555556,0.7142857142857143
