,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hannah Sjerven,6,19,6,18,0,1,6,9,8,4,1,3,0,4,2,18,0.3157894736842105,0.25
1,Liv Korngable,6,10,3,4,3,6,0,0,1,1,1,3,0,5,2,15,0.0,0.2
2,Chloe Lamb,2,12,1,6,1,6,1,3,0,0,1,2,0,1,1,6,0.08333333333333333,1.0
3,Maddie Krull,3,14,2,10,1,4,0,0,1,3,4,2,0,2,2,7,0.0,2.0
4,Jeniah Ugofsky,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0
13,School Totals,17,65,12,42,5,23,8,14,15,9,9,13,0,14,10,47,0.12307692307692308,0.6428571428571429
