,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Cannatelli,2,9,1,5,1,4,4,5,0,5,0,2,0,3,0,9,0.4444444444444444,0.0
1,Jenna Burdette,5,15,4,9,1,6,8,8,1,4,4,1,0,4,3,19,0.5333333333333333,1.0
2,Javonna Layfield,4,8,4,8,0,0,3,5,6,7,0,1,1,3,3,11,0.375,0.0
3,Jayla Scaife,5,14,5,12,0,2,1,2,0,4,1,0,0,3,3,11,0.07142857142857142,0.3333333333333333
4,Alex Harris,3,3,3,3,0,0,1,1,2,5,0,0,2,4,1,7,0.3333333333333333,0.0
10,School Totals,22,57,19,44,3,13,18,23,14,27,5,4,3,19,18,65,0.3157894736842105,0.2631578947368421
