,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Precious Hall,5,18,5,11,0,7,4,4,0,2,1,3,0,2,2,14,0.2222222222222222,0.5
1,Jazmon Gwathmey,6,10,5,9,1,1,1,1,1,3,2,0,2,0,4,14,0.1,0.0
2,Kirby Burkholder,5,14,4,8,1,6,9,9,3,7,1,2,1,2,5,20,0.6428571428571429,0.5
3,Nikki Newman,0,2,0,1,0,1,0,0,1,2,5,0,1,1,3,0,0.0,5.0
4,Toia Giggetts,5,12,5,11,0,1,2,3,1,3,1,0,1,1,4,12,0.16666666666666666,1.0
10,School Totals,24,65,22,49,2,16,19,21,10,22,12,6,6,10,27,69,0.2923076923076923,1.2
