,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keri Jewett-Giles,9,20,5,10,4,10,2,2,3,4,3,1,0,4,2,24,0.1,0.75
1,Destiny Washington,3,8,0,1,3,7,1,2,1,3,0,2,3,0,4,10,0.125,0.0
2,Nasrin Ulel,3,14,2,7,1,7,0,0,2,2,2,1,0,2,0,7,0.0,1.0
3,Tytionia Adderly,3,10,1,3,2,7,0,0,1,8,4,2,0,1,2,8,0.0,4.0
4,Davion Wingate,0,7,0,3,0,4,5,6,0,1,3,0,1,1,4,5,0.7142857142857143,3.0
11,School Totals,21,66,9,26,12,40,8,10,7,19,13,6,5,9,17,62,0.12121212121212122,1.4444444444444444
