,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Jensen,3,8,1,4,2,4,2,2,1,7,1,0,0,0,1,10,0.25,0.0
1,Tatum Rembao,5,8,2,2,3,6,6,8,0,0,4,0,0,2,4,19,0.75,2.0
2,Payton Brotzki,5,9,3,4,2,5,1,2,0,6,1,2,1,3,2,13,0.1111111111111111,0.3333333333333333
3,Emma Ronsiek,1,7,1,6,0,1,0,0,1,3,2,0,0,1,2,2,0.0,2.0
4,Carly Bachelor,1,5,1,3,0,2,0,0,1,1,2,0,0,0,0,2,0.0,0.0
9,School Totals,26,58,15,33,11,25,13,16,5,27,15,4,2,10,17,76,0.22413793103448276,1.5
