,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Ohio State ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jantel Lavender,40,9,17,.529,9,17,.529,0,0,,1,2,.500,2,8,10,5,0,4,5,3,19
1,Brittany Johnson,40,6,11,.545,2,3,.667,4,8,.500,0,0,,0,3,3,1,0,0,1,2,16
2,Samantha Prahalis,38,9,18,.500,7,14,.500,2,4,.500,2,2,1.000,0,2,2,7,1,0,4,4,22
3,Tayler Hill,36,4,11,.364,3,8,.375,1,3,.333,3,4,.750,1,2,3,4,2,1,2,2,12
4,Ashley Adams,30,2,2,1.000,2,2,1.000,0,0,,0,0,,0,5,5,3,0,2,1,3,4
6,Sarah Schulze,9,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,2,0,1,0
7,Amber Stokes,7,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2
8,School Totals,200,31,62,.500,24,46,.522,7,16,.438,6,8,.750,3,22,25,20,3,9,13,17,75
