,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,6,11,4,8,2,3,1,2,0,5,4,0,0,2,3,15,0.09090909090909091,2.0
1,Empress Davenport,3,9,3,8,0,1,2,4,0,3,0,0,0,5,4,8,0.2222222222222222,0.0
2,Ariel Atkins,4,9,3,7,1,2,7,7,3,5,0,2,0,1,4,16,0.7777777777777778,0.0
3,Celina Rodrigo,0,4,0,2,0,2,0,0,2,5,5,0,0,2,2,0,0.0,2.5
4,Imani Boyette,7,12,7,12,0,0,4,5,3,7,1,0,2,1,4,18,0.3333333333333333,1.0
10,School Totals,27,66,24,56,3,10,15,20,12,32,10,8,2,16,23,72,0.22727272727272727,0.625
