,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,5,16,4,12,1,4,4,4,0,5,1,3,0,4,2,15,0.25,0.25
1,Joy Cheek,3,7,3,5,0,2,2,2,2,3,1,1,1,5,4,8,0.2857142857142857,0.2
2,Karima Christmas,2,6,2,5,0,1,5,5,2,4,1,1,0,2,3,9,0.8333333333333334,0.5
3,Keturah Jackson,4,5,4,5,0,0,0,0,2,0,1,3,0,0,3,8,0.0,0.0
4,Krystal Thomas,2,3,2,3,0,0,2,3,2,1,1,1,2,4,2,6,0.6666666666666666,0.25
8,School Totals,23,52,22,42,1,10,13,16,10,20,5,13,3,19,16,60,0.25,0.2631578947368421
