,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elisha Davis,5,10,5,8,0,2,3,4,0,2,6,0,0,0,0,13,0.3,0.0
1,Sophie Brunner,4,7,4,7,0,0,0,0,1,4,4,2,0,4,1,8,0.0,1.0
2,Arnecia Hawkins,3,11,3,9,0,2,0,0,1,2,4,3,0,1,3,6,0.0,4.0
3,Katie Hempen,7,8,1,2,6,6,0,0,1,1,1,1,0,3,3,20,0.0,0.3333333333333333
4,Kelsey Moos,1,2,1,1,0,1,0,0,2,5,0,3,0,1,4,2,0.0,0.0
13,School Totals,30,57,23,42,7,15,7,10,7,24,18,13,4,16,18,74,0.12280701754385964,1.125
