,Wichita State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alex Harden,7,11,6,10,1,1,7,9,2,7,2,4,0,4,4,22,0.6363636363636364,0.5
1,Michaela Dapprich,6,17,4,11,2,6,2,2,2,4,0,0,0,0,4,16,0.11764705882352941,0.0
2,Kelsey Jacobs,4,9,4,9,0,0,0,0,0,6,0,0,0,3,2,8,0.0,0.0
3,Alie Decker,4,11,1,2,3,9,3,4,1,3,0,1,0,0,0,14,0.2727272727272727,0.0
4,Jamillah Bonner,3,10,3,7,0,3,0,0,1,0,7,0,0,4,4,6,0.0,1.75
7,School Totals,24,59,18,40,6,19,12,15,6,20,9,6,0,11,14,66,0.2033898305084746,0.8181818181818182
