,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bria Goss,3,7,3,6,0,1,11,12,3,3,1,2,1,1,0,17,1.5714285714285714,1.0
1,DeNesha Stallworth,6,10,6,10,0,0,1,4,3,3,0,3,2,1,3,13,0.1,0.0
2,Kastine Evans,4,7,1,3,3,4,0,0,0,3,1,1,0,1,1,11,0.0,1.0
3,Samarie Walker,0,4,0,4,0,0,1,2,3,4,1,2,1,0,4,1,0.25,0.0
4,Janee Thompson,1,6,1,6,0,0,0,0,1,0,3,2,1,5,2,2,0.0,0.6
10,School Totals,21,58,17,46,4,12,18,28,14,21,12,15,6,15,19,64,0.3103448275862069,0.8
