,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,DD Rogers,2,4,2,4,0,0,3,4,1,7,3,0,1,4,0,7,0.75,0.75
1,Kai Crutchfield,5,10,2,5,3,5,1,1,1,4,2,1,0,0,0,14,0.1,0.0
2,Elissa Cunane,7,13,7,11,0,2,2,3,0,9,1,1,0,2,2,16,0.15384615384615385,0.5
3,Kiara Leslie,8,15,5,8,3,7,1,2,1,5,1,0,0,3,3,20,0.06666666666666667,0.3333333333333333
4,Aislinn Konig,2,7,2,3,0,4,0,0,0,3,3,2,0,1,1,4,0.0,3.0
9,School Totals,24,52,18,31,6,21,9,12,4,33,10,4,1,11,6,63,0.17307692307692307,0.9090909090909091
