,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angie Bjorklund,4,5,0,0,4,5,1,2,0,2,3,0,0,0,1,13,0.2,0.0
1,Taber Spani,3,5,3,4,0,1,2,2,1,8,2,0,1,1,0,8,0.4,2.0
2,Shekinna Stricklen,6,8,4,4,2,4,1,1,0,1,2,0,0,1,0,15,0.125,2.0
3,Glory Johnson,5,6,5,6,0,0,4,8,3,7,1,1,0,1,2,14,0.6666666666666666,1.0
4,Meighan Simmons,4,10,3,7,1,3,0,0,1,0,2,0,0,0,2,9,0.0,0.0
13,School Totals,39,70,31,50,8,20,13,24,15,41,19,7,9,7,10,99,0.18571428571428572,2.7142857142857144
