,Stetson ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tierra Brown,3,21,2,11,1,10,0,0,0,0,0,2,0,0,2,7,0.0,0.0
1,Sasha Sims,2,13,2,8,0,5,2,2,1,2,1,1,0,2,1,6,0.15384615384615385,0.5
2,Victoria McGowan,3,13,2,8,1,5,0,0,3,4,1,0,0,5,3,7,0.0,0.2
3,Natasha Graboski,3,6,2,4,1,2,0,1,0,2,0,0,0,3,5,7,0.0,0.0
4,Jessica Conner,0,4,0,4,0,0,4,4,1,3,1,0,0,0,1,4,1.0,0.0
10,School Totals,12,66,9,42,3,24,7,9,8,19,3,3,1,12,18,34,0.10606060606060606,0.25
