,Colorado ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jaylyn Sherrod,11,15,9,11,2,4,3,5,0,5,5,2,0,2,4,27,0.2,2.5
1,Frida Formann,1,6,1,4,0,2,0,0,0,2,4,1,0,0,4,2,0.0,0.0
2,Mya Hollingshed,6,17,4,11,2,6,1,2,2,3,1,0,2,1,3,15,0.058823529411764705,1.0
3,Peanut Tuitele,3,6,3,5,0,1,2,2,4,5,3,1,0,1,2,8,0.3333333333333333,3.0
4,Lesila Finau,1,3,1,3,0,0,0,0,1,2,0,0,1,1,0,2,0.0,0.0
9,School Totals,30,68,26,49,4,19,10,13,11,20,16,8,4,8,20,74,0.14705882352941177,2.0
