,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelley Austria,4,11,4,9,0,2,1,2,2,3,3,2,1,2,3,9,0.09090909090909091,1.5
1,Javonna Layfield,3,8,3,7,0,1,4,4,3,1,0,0,0,0,3,10,0.5,0.0
2,Alex Harris,4,9,4,9,0,0,2,2,3,11,0,0,1,1,4,10,0.2222222222222222,0.0
3,Jenna Burdette,3,15,2,9,1,6,0,0,0,3,3,0,0,1,2,7,0.0,3.0
4,Saicha Grant-Allen,2,4,2,4,0,0,2,2,0,1,1,0,0,0,3,6,0.5,0.0
12,School Totals,21,65,17,45,4,20,11,14,9,27,11,3,2,8,22,57,0.16923076923076924,1.375
