,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Skylar Diggins,7,17,5,12,2,5,4,4,1,1,3,2,1,0,3,20,0.23529411764705882,0.0
1,Brittany Mallory,1,3,0,1,1,2,0,0,1,5,2,2,0,0,0,3,0.0,0.0
2,Natalie Novosel,0,11,0,9,0,2,5,8,1,0,2,0,0,2,1,5,0.45454545454545453,1.0
3,Kayla McBride,5,13,5,13,0,0,1,1,0,3,3,0,0,2,3,11,0.07692307692307693,1.5
4,Devereaux Peters,3,5,3,5,0,0,1,2,3,0,1,0,1,1,4,7,0.2,1.0
11,School Totals,22,62,17,49,5,13,12,16,9,15,13,6,4,7,19,61,0.1935483870967742,1.8571428571428572
