,Towson ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kionna Jeter,8,27,4,12,4,15,0,1,3,2,2,7,0,0,1,20,0.0,0.0
1,Qierra Murray,3,9,2,7,1,2,0,0,1,3,5,1,0,4,2,7,0.0,1.25
2,Nukiya Mayo,2,13,0,8,2,5,2,2,4,2,1,0,3,1,2,8,0.15384615384615385,1.0
3,Ryan Holder,1,1,1,1,0,0,1,2,1,1,0,0,1,2,1,3,1.0,0.0
4,Maia Lee,3,6,3,6,0,0,0,0,3,1,0,0,1,1,1,6,0.0,0.0
13,School Totals,23,73,15,44,8,29,7,11,17,18,13,8,5,16,20,61,0.0958904109589041,0.8125
