,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aaliyah Lewis,1,2,1,2,0,0,3,3,1,2,4,1,0,6,2,5,1.5,0.6666666666666666
1,Danaejah Grant,10,19,6,13,4,6,1,4,3,3,1,1,0,3,3,25,0.05263157894736842,0.3333333333333333
2,Aliyyah Handford,4,10,4,10,0,0,2,2,0,3,3,2,0,10,4,10,0.2,0.3
3,Sandra Udobi,2,3,2,3,0,0,2,2,1,3,1,0,0,0,0,6,0.6666666666666666,0.0
4,Imani Littleton,2,2,2,2,0,0,0,0,1,3,0,0,0,0,0,4,0.0,0.0
8,School Totals,22,46,17,36,5,10,8,13,7,19,11,4,0,25,19,68,0.17391304347826086,0.44
