,TEAM1,TEAM_OPP,PRED
0,South Carolina ,North Carolina ,1
1,Georgia ,Colorado ,1
2,Louisville ,Oregon ,1
3,Brigham Young ,Mississippi ,1
4,Stanford ,Virginia Tech ,1
5,Ohio State ,Utah ,0
6,NC State ,Notre Dame ,1
7,Kentucky ,Central Florida ,0
