TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,GAME_ID,ANSWER
South Carolina ,0.666666667,0.655172414,1,0.677419355,0.782608696,0.647058824,0.384615385,0.44,0.052631579,0.395873071,0.213139801,2022,0.422522916,0.584346854,0.29491833,0.642857143,0.272727273,0.25,0.545454545,0.5,0.090909091,0.428571429,0.428571429,0,0,0.111111111,0.240506329,0.166666667,0.464285714,0.571428571,0.285714286,1,Howard ,0.142857143,0.068965517,0.12,0.258064516,0,0.352941176,0.230769231,0.68,0.526315789,0.129375951,0,0,0,0.114942529,1,0.272727273,0.166666667,0.090909091,0.166666667,0,0.142857143,0.142857143,0.375,0.2,0.055555556,0.065238559,0.00462963,0,0,0,1,152,1
Miami ,0.428571429,0.310344828,0.12,0.322580645,0.391304348,0.352941176,0.230769231,0.36,0.315789474,0.369863014,0.131016043,2022,0.793842365,0.864436341,0.572100313,0.886363636,0.181818182,0.083333333,0,0.25,0.181818182,0.285714286,0,0.25,0.2,0.222222222,0.082278481,0.259259259,0.464285714,0.571428571,0.5,1,South Florida ,0.380952381,0.310344828,0.32,0.193548387,0.391304348,0.529411765,0,0.4,0.473684211,0.309960529,0.119703826,0.529748685,0.439425949,0.654388715,0.772727273,0.363636364,0.333333333,0.181818182,0.416666667,0.181818182,0.285714286,0,0.375,0.6,0.416666667,0.066455696,0.12037037,0.296875,0.448979592,0.5,1,180,1
North Carolina ,0.80952381,0.724137931,0.32,0.419354839,0.608695652,0.235294118,0.230769231,0.48,0.578947368,0.698630137,0.155080214,2022,0.647536946,0.632443029,0.622188906,0.72826087,0.636363636,0.5,0.090909091,0.583333333,0.272727273,0.285714286,0.285714286,0.5,0.8,0.611111111,0.122362869,0.166666667,0.464285714,0.571428571,0.571428571,1,Stephen F. Austin ,0.571428571,0.482758621,0.56,0.225806452,0.434782609,0.352941176,0.076923077,0.36,0.947368421,0.419178082,0.144385027,0.389814324,0.361522911,0.475624257,0.765625,0.545454545,0.583333333,0.454545455,0.166666667,0.272727273,0.428571429,0.142857143,0.375,1,0.555555556,0.091586001,0.166666667,0.375,1,0.5,1,181,1
Arizona ,0.80952381,0.896551724,0.04,0.225806452,0.347826087,0.588235294,0.230769231,0.16,0.842105263,0.698630137,0.213139801,2022,0.610960591,0.649764151,0.36637931,0.553571429,0.636363636,0.916666667,0,0.416666667,0.272727273,0.571428571,0.285714286,0.125,0.8,0.666666667,0.113924051,0.166666667,0.407894737,1,0.5,0.666666667,Nevada-Las Vegas ,0.428571429,0.482758621,0.12,0.516129032,0.391304348,0,0.076923077,0.52,0.631578947,0.428571429,0.094251337,0.783391977,0.752358491,0.610079576,0.53125,0.181818182,0.166666667,0,0.666666667,0.363636364,0.142857143,0.142857143,0.5,0.8,0.277777778,0.071729958,0.074074074,0.625,0.614285714,0.6,1,168,1
Georgia ,0.952380952,0.965517241,0.56,0.548387097,0.652173913,0.352941176,0.461538462,0.48,0.105263158,0.764383562,0.165775401,2022,0.515862069,0.475516622,0.215517241,0.625,0.181818182,0.166666667,0.090909091,0.5,0.545454545,0.285714286,0.428571429,0.25,0.2,0.361111111,0.156118143,0.197530864,0.464285714,0.448979592,0.5,1,Dayton ,0.047619048,0.068965517,0.24,0.258064516,0.52173913,0.294117647,0.307692308,0.44,0.736842105,0.030821918,0.144385027,0.432650862,0.376391656,0.517241379,0.375,0,0,0.090909091,0.25,0.272727273,0.142857143,0.285714286,0.5,0.6,0.416666667,0,0.166666667,0.375,0.265306122,1,0.333333333,141,1
Iowa State ,0.666666667,0.827586207,0.4,0.483870968,0.173913043,0.058823529,0.461538462,0.16,0.473684211,0.489989463,0.121466769,2022,0.578885942,0.547169811,0.547413793,0.471153846,0.454545455,0.833333333,0.363636364,0.666666667,0.454545455,0.142857143,0.428571429,0.25,0.6,0.833333333,0.113924051,0.166666667,1,1,0.5,1,UT Arlington ,0.428571429,0.482758621,0.24,0.451612903,0.391304348,0.294117647,0.384615385,0.24,0.789473684,0.330092797,0.180035651,0.588542825,0.491093402,0.705818966,0.53125,0.545454545,0.75,0.181818182,0.416666667,0.272727273,0.428571429,0.285714286,0.375,0.8,0.361111111,0.105485232,0.166666667,0.583333333,0.485714286,1,1,184,1
Colorado ,0.428571429,0.379310345,0.4,0.258064516,0.608695652,0.411764706,0.307692308,0.2,0.789473684,0.297340854,0.304812834,2022,0.60020284,0.659634743,0.29491833,0.711538462,0.181818182,0.25,0.272727273,0.25,0.363636364,0.285714286,0.285714286,0.125,0.6,0.583333333,0.071729958,0.259259259,0.666666667,0.766233766,0.5,1,Creighton ,0.80952381,0.620689655,0.24,0.35483871,0.565217391,0.117647059,0.153846154,0.48,0.315789474,0.685652487,0.144385027,0.738656987,0.69836147,0.676043557,0.875,0.454545455,0.333333333,0.090909091,0.25,0.181818182,0.285714286,0.142857143,0.5,0.6,0.277777778,0.156118143,0.12037037,1,1,1,1,137,0
Iowa ,0.904761905,0.655172414,0,0.612903226,1,0.529411765,0.307692308,0.32,0.684210526,0.795765878,0.348565873,2022,0.925517241,1,0.74933687,0.94047619,0.545454545,0.416666667,0,0.416666667,0.818181818,0.428571429,0.428571429,0.375,0.6,0.583333333,0.240506329,0.351851852,1,1,0.5,1,Illinois State ,0.428571429,0.379310345,0.56,0.225806452,0.347826087,0.235294118,0.076923077,0.36,0.684210526,0.28304071,0.117647059,0.302379796,0.480169426,0.215517241,0.711538462,0.272727273,0.25,0.363636364,0.166666667,0.181818182,0.285714286,0.142857143,0.125,0.6,0.527777778,0.088607595,0.259259259,0.345238095,1,0.333333333,1,153,1
Louisville ,0.476190476,0.482758621,0.4,0.290322581,0.47826087,1,0.307692308,0.28,0.210526316,0.360730594,0.192513369,2022,0.769458128,0.736766646,0.592672414,0.609375,0.363636364,0.333333333,0.181818182,0.333333333,0.363636364,1,0.285714286,0,0.2,0.388888889,0.113924051,0.444444444,1,1,0.5,1,Albany ,0.285714286,0.172413793,0.12,0.290322581,0.304347826,0.352941176,0.153846154,0.76,0.473684211,0.287671233,0.049586777,0.532582688,0.579147268,0.36637931,1,0.272727273,0.166666667,0.181818182,0.333333333,0.272727273,0.285714286,0,0.5,0.2,0.222222222,0.240506329,0.166666667,0.375,0.571428571,0.333333333,1,126,1
Nebraska ,0.428571429,0.517241379,0.4,0.225806452,0.347826087,0.294117647,0.230769231,0.28,0.473684211,0.369863014,0.144385027,2022,0.354926108,0.191969241,0.654388715,0.485294118,0.454545455,0.416666667,0.363636364,0.25,0.272727273,0.428571429,0.285714286,0.125,0.6,0.388888889,0.088607595,0.166666667,0.375,0.357142857,0.5,0.80952381,Gonzaga ,0.476190476,0.413793103,0.28,0.483870968,0.52173913,0.352941176,0.307692308,0.4,0.578947368,0.410958904,0.156725627,0.647536946,0.673439768,0.446247465,0.732142857,0.090909091,0.083333333,0.272727273,0.25,0.272727273,0.428571429,0.285714286,0.375,0.4,0.388888889,0.088607595,0.074074074,0.75,0.742857143,1,1,150,0
Oregon ,0.428571429,0.413793103,0.56,0.709677419,0.565217391,0.352941176,0.923076923,0.56,0.684210526,0.269900037,0.125511167,2022,0.471575023,0.522834766,0.25862069,0.642857143,0.545454545,0.5,0.272727273,0.5,0.363636364,0.428571429,1,0.5,0.6,0.694444444,0.061181435,0.212962963,0.375,0.571428571,0.25,0.833333333,Belmont ,0.476190476,0.517241379,0.24,0.548387097,0.652173913,0.588235294,0.076923077,0.24,0.421052632,0.31545437,0.286987522,0.417775619,0.379668849,0.517241379,0.558823529,0.636363636,0.583333333,0.181818182,0.25,0.545454545,0.571428571,0.142857143,0.125,0.6,0.444444444,0.132007233,0.62962963,0.659090909,0.448979592,1,0.851851852,129,0
Tennessee ,0.952380952,0.931034483,0.84,0.516129032,0.565217391,0.411764706,0,0.64,0.421052632,0.669621273,0.110610751,2022,0.539959432,0.525851507,0.331564987,0.655172414,0.454545455,0.5,0.636363636,0.333333333,0.272727273,0.428571429,0,0.5,0.6,0.361111111,0.113924051,0.351851852,0.375,0.357142857,0.4,1,Buffalo ,0.238095238,0.275862069,0.56,0.129032258,0.608695652,0.705882353,0.076923077,0.52,0.947368421,0.143013699,0.144385027,0.40662069,0.349309299,0.517241379,0.5,0.090909091,0,0.636363636,0.166666667,0.545454545,1,0.142857143,0.75,0.6,0.527777778,0.037974684,0.305555556,0.375,1,0.384615385,1,131,1
