,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,GAME_ID,ANSWER
253,Louisville ,0.4761904761904761,0.48275862068965514,0.4,0.29032258064516125,0.47826086956521735,1.0,0.3076923076923077,0.28,0.21052631578947367,0.36073059360730597,0.1925133689839572,2022,0.7694581280788177,0.7367666456385847,0.5926724137931035,0.609375,0.36363636363636365,0.33333333333333337,0.1818181818181818,0.33333333333333337,0.36363636363636365,1.0,0.2857142857142857,0.0,0.2,0.38888888888888895,0.11392405063291138,0.4444444444444444,1.0,1.0,0.5,1.0,Albany ,0.2857142857142857,0.17241379310344826,0.12,0.29032258064516125,0.3043478260869565,0.3529411764705882,0.15384615384615385,0.76,0.47368421052631576,0.28767123287671226,0.04958677685950414,0.5325826882477129,0.5791472678265132,0.3663793103448276,1.0,0.2727272727272727,0.16666666666666666,0.1818181818181818,0.33333333333333337,0.2727272727272727,0.2857142857142857,0.0,0.5,0.2,0.22222222222222218,0.240506329113924,0.16666666666666666,0.375,0.5714285714285714,0.3333333333333333,1.0,126,1.0
255,Michigan ,0.19047619047619047,0.31034482758620685,0.4,0.5161290322580645,0.826086956521739,0.5882352941176471,0.15384615384615385,0.32,0.21052631578947367,0.1332503113325031,0.2902284880894506,2022,0.6896551724137931,0.6955278068100555,0.44624746450304253,0.3181818181818181,0.09090909090909091,0.33333333333333337,0.36363636363636365,0.33333333333333337,0.2727272727272727,0.42857142857142855,0.14285714285714285,0.125,0.2,0.5,0.050632911392405056,0.35185185185185186,0.7321428571428571,0.7244897959183674,0.5,1.0,American ,0.14285714285714285,0.10344827586206898,0.19999999999999998,0.3548387096774194,0.34782608695652173,0.23529411764705882,0.15384615384615385,0.68,0.631578947368421,0.12040374909877435,0.06417112299465241,0.30744101633393833,0.5080862533692723,0.0,0.75,0.09090909090909091,0.08333333333333334,0.1818181818181818,0.33333333333333337,0.1818181818181818,0.2857142857142857,0.14285714285714285,1.0,0.8,0.11111111111111113,0.08860759493670885,0.05092592592592593,0.75,0.7428571428571429,0.1428571428571428,1.0,127,1.0
257,Utah ,0.5714285714285714,0.6206896551724138,0.4,0.8387096774193549,0.7826086956521738,0.058823529411764705,0.07692307692307693,0.56,0.5789473684210527,0.4414494034467521,0.1726958162944322,2022,0.7537263626251389,0.6908964437874968,0.7897664071190212,0.5625,0.2727272727272727,0.33333333333333337,0.1818181818181818,0.41666666666666663,0.9090909090909091,0.14285714285714285,0.0,0.625,0.6000000000000001,0.38888888888888895,0.240506329113924,0.35185185185185186,1.0,1.0,1.0,1.0,Arkansas ,0.38095238095238093,0.4482758620689655,0.48000000000000004,0.19354838709677413,0.13043478260869565,0.47058823529411764,0.46153846153846156,0.12,0.5263157894736843,0.22108548638806994,0.11764705882352941,0.4225229157573112,0.4801694262610704,0.2286356821589205,0.5,0.2727272727272727,0.41666666666666663,0.09090909090909091,0.24999999999999997,0.1818181818181818,0.2857142857142857,0.2857142857142857,0.125,0.6000000000000001,0.5,0.05485232067510547,0.12037037037037038,0.33333333333333337,0.5324675324675325,0.3333333333333333,0.6666666666666667,128,1.0
259,Oregon ,0.42857142857142855,0.4137931034482758,0.5599999999999999,0.7096774193548386,0.5652173913043479,0.3529411764705882,0.9230769230769231,0.56,0.6842105263157894,0.26990003702332466,0.12551116703365836,2022,0.4715750232991613,0.5228347658037941,0.2586206896551723,0.6428571428571429,0.5454545454545454,0.5,0.2727272727272727,0.5,0.36363636363636365,0.42857142857142855,1.0,0.5,0.6000000000000001,0.6944444444444444,0.06118143459915612,0.21296296296296294,0.375,0.5714285714285714,0.25,0.8333333333333333,Belmont ,0.4761904761904761,0.5172413793103448,0.24000000000000002,0.5483870967741935,0.6521739130434783,0.5882352941176471,0.07692307692307693,0.24,0.4210526315789473,0.3154543700559521,0.28698752228163993,0.41777561923263723,0.37966884867154405,0.5172413793103449,0.5588235294117647,0.6363636363636364,0.5833333333333334,0.1818181818181818,0.24999999999999997,0.5454545454545454,0.5714285714285714,0.14285714285714285,0.125,0.6000000000000001,0.4444444444444444,0.13200723327305602,0.6296296296296297,0.6590909090909092,0.4489795918367347,1.0,0.8518518518518519,129,0.0
261,Tennessee ,0.38095238095238093,0.4137931034482758,0.52,0.4838709677419355,0.7391304347826086,0.1176470588235294,0.3076923076923077,0.24,0.47368421052631576,0.2727272727272726,0.3226381461675579,2022,0.596551724137931,0.5892030717591416,0.3315649867374004,0.5535714285714286,0.4545454545454545,0.5,0.4545454545454545,0.24999999999999997,0.6363636363636364,0.14285714285714285,0.42857142857142855,0.375,0.6000000000000001,0.38888888888888895,0.11392405063291138,0.7222222222222222,0.4444444444444444,0.42857142857142866,0.3333333333333333,0.6666666666666667,Belmont ,0.19047619047619047,0.27586206896551724,0.5599999999999999,0.29032258064516125,0.47826086956521735,0.2941176470588235,0.15384615384615385,0.2,0.631578947368421,0.11653218239819862,0.24465240641711228,0.4541332073689183,0.5220446669233733,0.3809788654060066,0.375,0.1818181818181818,0.24999999999999997,0.1818181818181818,0.16666666666666666,0.2727272727272727,0.2857142857142857,0.2857142857142857,0.0,0.8,0.4444444444444444,0.050632911392405056,0.35185185185185186,0.375,0.5178571428571428,0.5,0.5555555555555556,130,1.0
263,Tennessee ,0.9523809523809523,0.9310344827586207,0.84,0.5161290322580645,0.5652173913043479,0.4117647058823529,0.0,0.64,0.4210526315789473,0.669621273166801,0.11061075147762453,2022,0.5399594320486816,0.5258515069835824,0.3315649867374004,0.6551724137931034,0.4545454545454545,0.5,0.6363636363636364,0.33333333333333337,0.2727272727272727,0.42857142857142855,0.0,0.5,0.6000000000000001,0.36111111111111116,0.11392405063291138,0.35185185185185186,0.375,0.35714285714285715,0.4,1.0,Buffalo ,0.23809523809523808,0.27586206896551724,0.5599999999999999,0.12903225806451613,0.6086956521739131,0.7058823529411764,0.07692307692307693,0.52,0.9473684210526316,0.14301369863013708,0.1443850267379679,0.40662068965517256,0.34930929919137477,0.5172413793103449,0.5,0.09090909090909091,0.0,0.6363636363636364,0.16666666666666666,0.5454545454545454,1.0,0.14285714285714285,0.75,0.6000000000000001,0.5277777777777778,0.03797468354430379,0.3055555555555556,0.375,1.0,0.3846153846153846,1.0,131,1.0
265,Connecticut ,0.8095238095238095,0.7241379310344828,0.24000000000000002,0.16129032258064513,0.2608695652173913,0.3529411764705882,0.7692307692307693,0.28,0.8421052631578947,0.821917808219178,0.11229946524064172,2022,0.2939655172413795,0.19541778975741236,0.5172413793103449,0.7282608695652174,0.36363636363636365,0.33333333333333337,0.09090909090909091,0.08333333333333334,0.09090909090909091,0.42857142857142855,0.5714285714285714,0.25,0.8,0.2777777777777778,0.240506329113924,0.07407407407407407,0.3055555555555556,0.4489795918367347,0.4,1.0,Central Florida ,0.42857142857142855,0.6206896551724138,0.24000000000000002,0.32258064516129037,0.3043478260869565,0.1764705882352941,0.23076923076923078,0.56,1.0,0.45920190589636667,0.0688895879207298,0.40899550224887554,0.2638140161725069,0.8189655172413793,0.375,0.2727272727272727,0.24999999999999997,0.09090909090909091,0.33333333333333337,0.1818181818181818,0.14285714285714285,0.2857142857142857,0.5,0.6000000000000001,0.16666666666666666,0.07940161104718065,0.037037037037037035,0.375,0.14285714285714285,1.0,0.7333333333333334,132,1.0
267,Indiana ,0.4761904761904761,0.4482758620689655,0.16,0.6129032258064516,0.9130434782608696,0.4117647058823529,0.07692307692307693,0.12,0.31578947368421056,0.3544520547945206,0.5989304812834225,2022,0.8167025862068966,0.8168463611859839,0.43103448275862066,0.6666666666666666,0.36363636363636365,0.33333333333333337,0.09090909090909091,0.33333333333333337,0.4545454545454545,0.42857142857142855,0.0,0.125,0.4000000000000001,0.36111111111111116,0.14556962025316456,0.4444444444444444,0.5,0.5408163265306123,0.5,1.0,Charlotte ,0.42857142857142855,0.5172413793103448,0.12,0.3870967741935484,0.2173913043478261,0.058823529411764705,0.07692307692307693,0.44000000000000006,0.5789473684210527,0.38508371385083695,0.06417112299465241,0.4551724137931034,0.45285948669869913,0.14008620689655177,0.4852941176470589,0.36363636363636365,0.33333333333333337,0.0,0.41666666666666663,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.625,0.4000000000000001,0.36111111111111116,0.07775768535262204,0.16666666666666666,0.375,0.46428571428571436,1.0,1.0,133,1.0
269,NC State ,0.7142857142857142,0.5862068965517241,0.19999999999999998,0.5806451612903226,0.7826086956521738,0.1764705882352941,0.5384615384615385,0.4,0.5789473684210527,0.5168119551681195,0.23076923076923075,2022,0.6896551724137931,0.7489500407446877,0.464767616191904,0.8026315789473684,0.4545454545454545,0.33333333333333337,0.09090909090909091,0.5,0.8181818181818182,0.14285714285714285,0.42857142857142855,0.5,0.6000000000000001,0.38888888888888895,0.0958408679927667,0.9074074074074073,0.6875,0.8163265306122449,0.5,1.0,Connecticut ,0.5238095238095237,0.6206896551724138,0.44,0.3548387096774194,0.34782608695652173,0.23529411764705882,0.15384615384615385,0.16000000000000003,0.5789473684210527,0.31755915317559147,0.2131398013750955,0.6807881773399016,0.7314208702348864,0.3448275862068964,0.5,0.4545454545454545,0.41666666666666663,0.36363636363636365,0.33333333333333337,0.2727272727272727,0.2857142857142857,0.14285714285714285,0.25,0.8,0.5833333333333334,0.08860759493670885,0.16666666666666666,0.5833333333333333,0.6785714285714286,0.4,0.8095238095238095,134,0.0
271,South Carolina ,0.7619047619047619,0.8275862068965517,0.6799999999999999,0.3548387096774194,0.3043478260869565,0.2941176470588235,0.3076923076923077,0.44000000000000006,0.31578947368421056,0.6109589041095891,0.08708938120702828,2022,0.44758620689655165,0.48587968635138457,0.2532327586206897,0.5673076923076923,0.36363636363636365,0.5,0.36363636363636365,0.75,0.2727272727272727,0.42857142857142855,0.2857142857142857,0.25,0.6000000000000001,0.5555555555555556,0.9999999999999999,0.16666666666666666,1.0,1.0,0.5,0.7777777777777779,Connecticut ,0.0,0.06896551724137931,0.07999999999999999,0.12903225806451613,0.5217391304347827,0.1764705882352941,0.38461538461538464,0.44000000000000006,0.8421052631578947,0.0015220700152207903,0.1443850267379679,0.5310344827586206,0.5595119875159597,0.3663793103448276,0.0625,0.0,0.0,0.09090909090909091,0.33333333333333337,0.1818181818181818,0.2857142857142857,0.14285714285714285,0.25,0.6000000000000001,0.22222222222222218,0.00681596884128529,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,135,1.0
