,TEAM1,TEAM_OPP,PRED
0,South Carolina ,Miami ,1
1,North Carolina ,Arizona ,1
2,Georgia ,Iowa State ,1
3,Colorado ,Iowa ,1
4,Louisville ,Nebraska ,1
5,Oregon ,Tennessee ,0
6,Brigham Young ,Michigan ,1
7,Mississippi ,Baylor ,1
8,Stanford ,Kansas ,1
9,Virginia Tech ,Maryland ,1
10,Ohio State ,Louisiana State ,0
11,Utah ,Texas ,1
12,NC State ,Washington State ,1
13,Notre Dame ,Oklahoma ,1
14,Kentucky ,Indiana ,1
15,Central Florida ,Connecticut ,0
