,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
0,American ,24,56,15,33,9,23,3,8,11,23,19,4,3,15,12,60,0.0535714285714285,1.2666666666666666,2018,9,15,5,9,4,6,2,4,4,10,6,2,1,8,4,22,0.4,3.0,1,UCLA ,26,60,18,45,8,15,11,14,11,21,20,9,3,7,14,71,0.1833333333333333,2.857142857142857,7,17,7,17,2,4,6,8,6,4,11,3,3,2,2,20,0.375,5.5,,0
1,UCLA ,26,60,18,45,8,15,11,14,11,21,20,9,3,7,14,71,0.1833333333333333,2.857142857142857,2018,7,17,7,17,2,4,6,8,6,4,11,3,3,2,2,20,0.375,5.5,0,American ,24,56,15,33,9,23,3,8,11,23,19,4,3,15,12,60,0.0535714285714285,1.2666666666666666,9,15,5,9,4,6,2,4,4,10,6,2,1,8,4,22,0.4,3.0,,0
2,Arizona State ,23,59,19,45,4,14,15,20,3,12,13,6,0,9,15,65,0.2542372881355932,1.4444444444444444,2018,8,13,6,11,2,2,9,12,3,3,3,2,0,2,5,27,0.6923076923076923,3.0,1,Texas ,37,60,34,50,3,10,8,10,10,29,14,1,1,17,21,85,0.1333333333333333,0.8235294117647058,9,12,9,11,3,5,4,4,2,9,5,1,0,5,3,19,0.5,2.5,,1
3,Texas ,37,60,34,50,3,10,8,10,10,29,14,1,1,17,21,85,0.1333333333333333,0.8235294117647058,2018,9,12,9,11,3,5,4,4,2,9,5,1,0,5,3,19,0.5,2.5,0,Arizona State ,23,59,19,45,4,14,15,20,3,12,13,6,0,9,15,65,0.2542372881355932,1.4444444444444444,8,13,6,11,2,2,9,12,3,3,3,2,0,2,5,27,0.6923076923076923,3.0,,1
4,Belmont ,21,54,10,26,11,28,5,10,11,21,13,2,4,15,22,58,0.0925925925925925,0.8666666666666667,2018,7,12,5,10,4,11,3,4,5,6,5,1,4,6,5,20,0.25,1.3333333333333333,1,Duke ,23,55,19,41,4,14,22,28,10,19,13,9,4,8,15,72,0.4,1.625,11,18,11,18,4,7,7,9,5,5,5,3,2,3,3,25,1.0,5.0,,2
5,Duke ,23,55,19,41,4,14,22,28,10,19,13,9,4,8,15,72,0.4,1.625,2018,11,18,11,18,4,7,7,9,5,5,5,3,2,3,3,25,1.0,5.0,0,Belmont ,21,54,10,26,11,28,5,10,11,21,13,2,4,15,22,58,0.0925925925925925,0.8666666666666667,7,12,5,10,4,11,3,4,5,6,5,1,4,6,5,20,0.25,1.3333333333333333,,2
6,Boise State ,14,59,10,29,4,30,10,16,7,21,7,6,2,16,19,42,0.1694915254237288,0.4375,2018,4,15,3,8,2,8,4,8,2,5,2,2,1,9,4,12,0.4444444444444444,0.5,1,Louisville ,30,62,28,52,2,10,12,17,11,39,18,8,3,17,16,74,0.1935483870967742,1.0588235294117647,5,14,5,10,0,4,4,6,4,11,7,2,1,4,3,14,0.6666666666666666,3.5,,3
7,Louisville ,30,62,28,52,2,10,12,17,11,39,18,8,3,17,16,74,0.1935483870967742,1.0588235294117647,2018,5,14,5,10,0,4,4,6,4,11,7,2,1,4,3,14,0.6666666666666666,3.5,0,Boise State ,14,59,10,29,4,30,10,16,7,21,7,6,2,16,19,42,0.1694915254237288,0.4375,4,15,3,8,2,8,4,8,2,5,2,2,1,9,4,12,0.4444444444444444,0.5,,3
8,Buffalo ,27,57,22,36,5,21,27,30,14,20,10,10,3,16,18,86,0.4736842105263157,0.625,2018,6,13,6,11,3,8,9,10,6,5,5,3,2,7,5,22,0.6923076923076923,5.0,1,Florida State ,23,68,20,43,3,25,16,22,19,14,11,7,1,17,24,65,0.2352941176470588,0.6470588235294118,10,15,10,15,1,10,5,10,5,4,4,4,1,4,4,25,0.3333333333333333,2.0,,4
9,Florida State ,23,68,20,43,3,25,16,22,19,14,11,7,1,17,24,65,0.2352941176470588,0.6470588235294118,2018,10,15,10,15,1,10,5,10,5,4,4,4,1,4,4,25,0.3333333333333333,2.0,0,Buffalo ,27,57,22,36,5,21,27,30,14,20,10,10,3,16,18,86,0.4736842105263157,0.625,6,13,6,11,3,8,9,10,6,5,5,3,2,7,5,22,0.6923076923076923,5.0,,4
10,Buffalo ,24,68,17,44,7,24,8,13,6,9,15,15,2,13,19,63,0.1176470588235294,1.1538461538461535,2018,9,22,5,11,4,11,7,11,3,4,6,6,2,5,5,29,0.3181818181818182,2.0,1,South Carolina ,30,59,29,54,1,5,18,20,14,29,21,6,5,26,16,79,0.3050847457627119,0.8076923076923077,7,16,7,16,1,3,6,7,4,9,9,2,3,8,4,20,0.7142857142857143,1.5,,5
11,South Carolina ,30,59,29,54,1,5,18,20,14,29,21,6,5,26,16,79,0.3050847457627119,0.8076923076923077,2018,7,16,7,16,1,3,6,7,4,9,9,2,3,8,4,20,0.7142857142857143,1.5,0,Buffalo ,24,68,17,44,7,24,8,13,6,9,15,15,2,13,19,63,0.1176470588235294,1.1538461538461535,9,22,5,11,4,11,7,11,3,4,6,6,2,5,5,29,0.3181818181818182,2.0,,5
12,Buffalo ,33,62,19,35,14,27,22,24,11,19,17,6,4,12,13,102,0.3548387096774194,1.4166666666666667,2018,11,18,6,14,7,13,7,8,5,5,8,2,2,3,4,36,1.3333333333333333,5.0,1,South Florida ,32,63,25,40,7,23,8,9,10,17,11,4,0,16,21,79,0.1269841269841269,0.6875,11,23,7,12,5,12,6,6,5,6,3,2,0,4,5,28,0.375,1.0,,6
13,South Florida ,32,63,25,40,7,23,8,9,10,17,11,4,0,16,21,79,0.1269841269841269,0.6875,2018,11,23,7,12,5,12,6,6,5,6,3,2,0,4,5,28,0.375,1.0,0,Buffalo ,33,62,19,35,14,27,22,24,11,19,17,6,4,12,13,102,0.3548387096774194,1.4166666666666667,11,18,6,14,7,13,7,8,5,5,8,2,2,3,4,36,1.3333333333333333,5.0,,6
14,Cal State Northridge ,35,66,26,46,9,20,2,3,9,19,23,6,7,16,15,81,0.0303030303030303,1.4375,2018,12,21,12,21,8,13,1,2,4,9,9,3,4,4,3,25,0.0714285714285714,9.0,1,Notre Dame ,40,73,31,56,9,17,10,14,12,18,28,12,1,8,7,99,0.136986301369863,3.5,12,20,12,20,6,8,5,6,4,6,7,4,1,1,1,30,0.25,5.0,,7
15,Notre Dame ,40,73,31,56,9,17,10,14,12,18,28,12,1,8,7,99,0.136986301369863,3.5,2018,12,20,12,20,6,8,5,6,4,6,7,4,1,1,1,30,0.25,5.0,0,Cal State Northridge ,35,66,26,46,9,20,2,3,9,19,23,6,7,16,15,81,0.0303030303030303,1.4375,12,21,12,21,8,13,1,2,4,9,9,3,4,4,3,25,0.0714285714285714,9.0,,7
16,Central Michigan ,28,56,21,37,7,19,15,17,13,21,13,2,1,11,14,78,0.2678571428571428,1.181818181818182,2018,9,14,9,12,3,8,7,9,6,6,8,1,1,5,5,25,0.5384615384615384,3.0,1,Louisiana State ,28,69,26,55,2,14,11,12,13,13,10,6,3,2,15,69,0.1594202898550724,5.0,8,22,7,17,1,5,7,8,7,7,6,3,1,1,3,24,0.3181818181818182,3.0,,8
17,Louisiana State ,28,69,26,55,2,14,11,12,13,13,10,6,3,2,15,69,0.1594202898550724,5.0,2018,8,22,7,17,1,5,7,8,7,7,6,3,1,1,3,24,0.3181818181818182,3.0,0,Central Michigan ,28,56,21,37,7,19,15,17,13,21,13,2,1,11,14,78,0.2678571428571428,1.181818181818182,9,14,9,12,3,8,7,9,6,6,8,1,1,5,5,25,0.5384615384615384,3.0,,8
18,Central Michigan ,28,62,14,35,14,27,25,27,11,29,14,5,3,11,17,95,0.4032258064516129,1.2727272727272727,2018,7,15,3,9,5,9,10,10,4,9,5,2,2,6,5,28,0.6666666666666666,1.5,1,Ohio State ,29,73,18,44,11,29,9,14,14,19,14,9,5,12,19,78,0.1232876712328767,1.1666666666666667,11,29,7,13,6,16,3,4,9,6,5,2,3,3,3,28,0.3,3.0,,9
19,Ohio State ,29,73,18,44,11,29,9,14,14,19,14,9,5,12,19,78,0.1232876712328767,1.1666666666666667,2018,11,29,7,13,6,16,3,4,9,6,5,2,3,3,3,28,0.3,3.0,0,Central Michigan ,28,62,14,35,14,27,25,27,11,29,14,5,3,11,17,95,0.4032258064516129,1.2727272727272727,7,15,3,9,5,9,10,10,4,9,5,2,2,6,5,28,0.6666666666666666,1.5,,9
