,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,GAME_ID
0,American ,3,8,11,23,19,4,3,15,12,0.0535714285714285,1.2666666666666666,2018,0.42857142857142855,0.45454545454545453,0.391304347826087,0.375,2,4,4,10,6,2,1,8,4,22,0.4,3.0,0.6,0.6666666666666666,0.6666666666666666,1.0,UCLA ,11,14,11,21,20,9,3,7,14,0.1833333333333333,2.857142857142857,0.43333333333333335,0.4,0.5333333333333333,0.7857142857142857,6,8,6,4,11,3,3,2,2,20,0.375,5.5,0.625,0.6,0.6666666666666666,1.0,0
1,UCLA ,11,14,11,21,20,9,3,7,14,0.1833333333333333,2.857142857142857,2018,0.43333333333333335,0.4,0.5333333333333333,0.7857142857142857,6,8,6,4,11,3,3,2,2,20,0.375,5.5,0.625,0.6,0.6666666666666666,1.0,American ,3,8,11,23,19,4,3,15,12,0.0535714285714285,1.2666666666666666,0.42857142857142855,0.45454545454545453,0.391304347826087,0.375,2,4,4,10,6,2,1,8,4,22,0.4,3.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0
2,Arizona State ,15,20,3,12,13,6,0,9,15,0.2542372881355932,1.4444444444444444,2018,0.3898305084745763,0.4222222222222222,0.2857142857142857,0.75,9,12,3,3,3,2,0,2,5,27,0.6923076923076923,3.0,0.6153846153846154,0.5454545454545454,1.0,0.75,Texas ,8,10,10,29,14,1,1,17,21,0.1333333333333333,0.8235294117647058,0.6166666666666667,0.68,0.3,0.8,4,4,2,9,5,1,0,5,3,19,0.5,2.5,0.75,0.8181818181818182,0.6,1.0,1
3,Texas ,8,10,10,29,14,1,1,17,21,0.1333333333333333,0.8235294117647058,2018,0.6166666666666667,0.68,0.3,0.8,4,4,2,9,5,1,0,5,3,19,0.5,2.5,0.75,0.8181818181818182,0.6,1.0,Arizona State ,15,20,3,12,13,6,0,9,15,0.2542372881355932,1.4444444444444444,0.3898305084745763,0.4222222222222222,0.2857142857142857,0.75,9,12,3,3,3,2,0,2,5,27,0.6923076923076923,3.0,0.6153846153846154,0.5454545454545454,1.0,0.75,1
4,Belmont ,5,10,11,21,13,2,4,15,22,0.0925925925925925,0.8666666666666667,2018,0.3888888888888889,0.38461538461538464,0.39285714285714285,0.5,3,4,5,6,5,1,4,6,5,20,0.25,1.3333333333333333,0.5833333333333334,0.5714285714285714,0.6,0.75,Duke ,22,28,10,19,13,9,4,8,15,0.4,1.625,0.41818181818181815,0.4634146341463415,0.2857142857142857,0.7857142857142857,7,9,5,5,5,3,2,3,3,25,1.0,5.0,0.6111111111111112,0.6111111111111112,0.5714285714285714,1.0,2
5,Duke ,22,28,10,19,13,9,4,8,15,0.4,1.625,2018,0.41818181818181815,0.4634146341463415,0.2857142857142857,0.7857142857142857,7,9,5,5,5,3,2,3,3,25,1.0,5.0,0.6111111111111112,0.6111111111111112,0.5714285714285714,1.0,Belmont ,5,10,11,21,13,2,4,15,22,0.0925925925925925,0.8666666666666667,0.3888888888888889,0.38461538461538464,0.39285714285714285,0.5,3,4,5,6,5,1,4,6,5,20,0.25,1.3333333333333333,0.5833333333333334,0.5714285714285714,0.6,0.75,2
6,Boise State ,10,16,7,21,7,6,2,16,19,0.1694915254237288,0.4375,2018,0.23728813559322035,0.3448275862068966,0.13333333333333333,0.625,4,8,2,5,2,2,1,9,4,12,0.4444444444444444,0.5,0.3076923076923077,0.5,0.25,0.75,Louisville ,12,17,11,39,18,8,3,17,16,0.1935483870967742,1.0588235294117647,0.4838709677419355,0.5384615384615384,0.2,0.7058823529411765,4,6,4,11,7,2,1,4,3,14,0.6666666666666666,3.5,0.8333333333333334,0.8333333333333334,0.0,1.0,3
7,Louisville ,12,17,11,39,18,8,3,17,16,0.1935483870967742,1.0588235294117647,2018,0.4838709677419355,0.5384615384615384,0.2,0.7058823529411765,4,6,4,11,7,2,1,4,3,14,0.6666666666666666,3.5,0.8333333333333334,0.8333333333333334,0.0,1.0,Boise State ,10,16,7,21,7,6,2,16,19,0.1694915254237288,0.4375,0.23728813559322035,0.3448275862068966,0.13333333333333333,0.625,4,8,2,5,2,2,1,9,4,12,0.4444444444444444,0.5,0.3076923076923077,0.5,0.25,0.75,3
8,Buffalo ,27,30,14,20,10,10,3,16,18,0.4736842105263157,0.625,2018,0.47368421052631576,0.6111111111111112,0.23809523809523808,0.9,9,10,6,5,5,3,2,7,5,22,0.6923076923076923,5.0,0.75,1.0,0.5,1.0,Florida State ,16,22,19,14,11,7,1,17,24,0.2352941176470588,0.6470588235294118,0.3382352941176471,0.46511627906976744,0.12,0.7272727272727273,5,10,5,4,4,4,1,4,4,25,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,4
9,Florida State ,16,22,19,14,11,7,1,17,24,0.2352941176470588,0.6470588235294118,2018,0.3382352941176471,0.46511627906976744,0.12,0.7272727272727273,5,10,5,4,4,4,1,4,4,25,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.0,1.0,Buffalo ,27,30,14,20,10,10,3,16,18,0.4736842105263157,0.625,0.47368421052631576,0.6111111111111112,0.23809523809523808,0.9,9,10,6,5,5,3,2,7,5,22,0.6923076923076923,5.0,0.75,1.0,0.5,1.0,4
