,UC Riverside ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rhaya Neabors,2,8,0,3,2,5,0,0,0,3,1,0,0,2,4,6,0.0,0.5
1,Marissa Rivera,3,7,3,7,0,0,0,2,2,3,0,0,1,1,1,6,0.0,0.0
2,Alyssa Morris,2,7,1,4,1,3,0,0,0,3,2,0,0,0,0,5,0.0,0.0
3,Rheya Neabors,2,4,1,1,1,3,0,0,0,4,3,1,1,7,4,5,0.0,0.42857142857142855
4,Amber Cox,1,5,1,2,0,3,0,0,0,2,1,0,0,3,4,2,0.0,0.3333333333333333
11,School Totals,19,50,13,28,6,22,3,10,5,20,9,1,2,15,16,47,0.06,0.6
