,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Sykes,6,15,6,12,0,3,0,0,1,0,2,1,1,1,2,12,0.0,2.0
1,Alexis Peterson,5,15,5,9,0,6,1,2,0,2,1,0,0,4,0,11,0.06666666666666667,0.25
2,Brianna Butler,1,8,0,4,1,4,0,0,0,3,1,0,0,1,3,3,0.0,1.0
3,Briana Day,2,5,2,5,0,0,0,0,2,1,0,2,0,1,4,4,0.0,0.0
4,Isabella Slim,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0.0,0.0
14,School Totals,22,62,20,43,2,19,5,10,7,15,6,7,2,12,19,51,0.08064516129032258,0.5
