,Prairie View ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Asha Hampton-Finch,2,7,0,5,2,2,0,0,1,3,1,0,0,0,1,6,0.0,0.0
1,Lereahn Washington,5,14,5,10,0,4,3,8,0,0,1,1,1,2,3,13,0.21428571428571427,0.5
2,Jeanette Jackson,0,12,0,5,0,7,2,2,1,3,3,2,0,4,3,2,0.16666666666666666,0.75
3,Alexus Parker,3,11,0,2,3,9,0,0,1,0,1,0,0,1,2,9,0.0,1.0
4,Larissa Scott,1,6,1,5,0,1,0,0,2,6,2,1,0,0,1,2,0.0,0.0
10,School Totals,16,64,10,37,6,27,6,13,7,19,9,6,1,10,13,44,0.09375,0.9
