,Northern Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Weekly,6,15,5,12,1,3,8,11,0,2,2,2,1,3,3,21,0.5333333333333333,0.6666666666666666
1,Hannah Schonhardt,3,5,2,3,1,2,0,0,2,5,0,1,1,0,0,7,0.0,0.0
2,Megan Maahs,6,7,6,7,0,0,4,4,3,2,2,0,0,1,0,16,0.5714285714285714,2.0
3,Mikaela Morgan,2,7,0,3,2,4,0,0,0,2,1,0,0,1,1,6,0.0,1.0
4,Angie Davison,0,3,0,1,0,2,0,0,0,2,2,1,0,2,3,0,0.0,1.0
11,School Totals,22,55,18,39,4,16,19,24,7,17,9,5,4,10,11,67,0.34545454545454546,0.9
