,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Cable,4,13,3,11,1,2,3,3,1,5,0,0,1,0,3,12,0.23076923076923078,0.0
1,Brianna Turner,8,15,8,15,0,0,0,0,6,4,0,0,3,0,3,16,0.0,0.0
2,Lindsay Allen,7,15,7,14,0,1,6,6,1,4,5,1,0,1,3,20,0.4,5.0
3,Kathryn Westbeld,3,5,3,5,0,0,0,0,2,1,5,1,0,1,2,6,0.0,5.0
4,Michaela Mabrey,2,5,1,4,1,1,0,0,0,1,2,0,0,2,1,5,0.0,1.0
10,School Totals,34,69,30,63,4,6,12,13,12,19,15,2,4,8,18,84,0.17391304347826086,1.875
