,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cierra Walker,1,7,0,1,1,6,1,2,0,3,1,0,0,1,2,4,0.14285714285714285,1.0
1,Melody Kempton,7,12,7,12,0,0,0,0,4,4,0,3,1,1,2,14,0.0,0.0
2,Kayleigh Truong,8,15,6,10,2,5,2,2,0,5,4,1,0,4,2,20,0.13333333333333333,1.0
3,Abby O'Connor,1,3,0,2,1,1,0,0,2,4,1,1,1,1,3,3,0.0,1.0
4,Anamaria Virjoghe,4,5,4,5,0,0,2,3,0,3,1,0,2,0,1,10,0.4,0.0
9,School Totals,26,56,21,39,5,17,11,14,8,27,14,7,4,13,16,68,0.19642857142857142,1.0769230769230769
