,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Haiby,6,15,4,11,2,4,6,7,1,5,1,3,0,2,0,20,0.4,0.5
1,Isabelle Bourne,2,4,1,2,1,2,1,4,3,2,1,1,1,0,3,6,0.25,0.0
2,Jaz Shelley,4,11,1,3,3,8,0,0,0,1,4,0,0,2,4,11,0.0,2.0
3,Allison Weidner,1,7,1,6,0,1,0,0,1,5,3,1,0,2,0,2,0.0,1.5
4,Alexis Markowski,3,10,2,8,1,2,3,6,5,4,0,0,2,0,4,10,0.3,0.0
9,School Totals,18,56,9,34,9,22,10,17,11,19,10,6,3,10,14,55,0.17857142857142858,1.0
