,Saint Francis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jess Kovatch,3,14,3,7,0,7,3,3,1,1,2,2,0,4,1,9,0.21428571428571427,0.5
1,A'Lexus Harrison,1,8,1,6,0,2,2,3,1,5,2,1,2,1,4,4,0.25,2.0
2,Courtney Zezza,3,12,0,0,3,12,0,0,0,4,0,0,0,3,3,9,0.0,0.0
3,Caitlyn Kroll,5,10,4,5,1,5,0,0,0,1,1,1,0,1,0,11,0.0,1.0
4,Maya Wynn,2,14,0,2,2,12,1,2,1,4,1,0,0,1,0,7,0.07142857142857142,1.0
13,School Totals,18,81,8,24,10,57,6,8,8,20,9,6,3,18,17,52,0.07407407407407407,0.5
