,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelly Campbell,5,6,2,2,3,4,4,5,0,6,5,1,1,4,4,17,0.6666666666666666,1.25
1,Ashton Millender,7,14,5,8,2,6,0,0,3,3,4,1,0,0,2,16,0.0,0.0
2,Chante Stonewall,4,11,4,9,0,2,4,6,0,7,6,2,1,1,1,12,0.36363636363636365,6.0
3,Amarah Coleman,6,9,2,4,4,5,1,2,0,7,5,0,0,2,5,17,0.1111111111111111,2.5
4,Mart'e Grays,5,7,3,5,2,2,4,6,0,2,1,1,0,3,5,16,0.5714285714285714,0.3333333333333333
9,School Totals,30,58,18,34,12,24,18,25,4,33,26,6,3,15,23,90,0.3103448275862069,1.7333333333333334
