,Chattanooga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Joyner,4,11,4,10,0,1,3,3,2,5,1,1,0,3,1,11,0.2727272727272727,0.3333333333333333
1,Chelsey Shumpert,4,13,1,4,3,9,2,2,1,1,6,2,0,1,3,13,0.15384615384615385,6.0
2,Lakelyn Bouldin,5,13,2,5,3,8,3,4,2,1,1,0,0,4,2,16,0.23076923076923078,0.25
3,Aryanna Gilbert,0,2,0,1,0,1,0,0,1,1,1,0,0,2,2,0,0.0,0.5
4,Keiana Gilbert,2,3,1,2,1,1,0,0,2,2,0,0,0,1,0,5,0.0,0.0
10,School Totals,21,56,11,29,10,27,10,12,12,16,11,4,1,15,13,62,0.17857142857142858,0.7333333333333333
