,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mariya Moore,2,3,0,0,2,3,0,0,0,1,10,0,0,2,1,6,0.0,5.0
1,AD Durr,10,16,5,7,5,9,2,3,0,3,2,1,0,2,3,27,0.125,1.0
2,Myisha Hines-Allen,8,11,8,11,0,0,0,0,2,10,5,1,0,1,2,16,0.0,5.0
3,Kylee Shook,5,9,5,9,0,0,0,0,2,2,0,1,1,2,2,10,0.0,0.0
4,Cortnee Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
14,School Totals,36,59,29,47,7,12,3,8,9,24,28,8,2,12,19,82,0.05084745762711865,2.3333333333333335
