,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danni Williams,7,13,3,6,4,7,0,0,0,2,3,1,0,1,0,18,0.0,3.0
1,Anriel Howard,7,12,7,10,0,2,0,0,2,8,4,2,0,3,1,14,0.0,1.3333333333333333
2,Chennedy Carter,8,18,5,12,3,6,7,8,0,5,11,6,0,2,0,26,0.3888888888888889,5.5
3,Khaalia Hillsman,10,14,10,14,0,0,2,2,5,1,1,2,0,0,1,22,0.14285714285714285,0.0
4,Jasmine Lumpkin,0,5,0,5,0,0,0,0,0,1,0,3,0,0,2,0,0.0,0.0
10,School Totals,36,68,29,52,7,16,10,11,9,18,19,14,0,10,6,89,0.14705882352941177,1.9
