,Elon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shay Burnett,8,15,6,11,2,4,1,3,0,5,3,1,0,1,4,19,0.06666666666666667,3.0
1,Lauren Brown,8,19,7,14,1,5,0,0,0,5,3,0,0,3,0,17,0.0,1.0
2,Malaya Johnson,3,9,3,7,0,2,4,4,3,4,1,0,0,1,2,10,0.4444444444444444,1.0
3,Essence Baucom,3,9,3,9,0,0,2,2,0,2,3,2,0,1,5,8,0.2222222222222222,3.0
4,Jenifer Rhodes,0,1,0,1,0,0,0,0,1,4,2,1,0,4,1,0,0.0,0.5
8,School Totals,24,61,20,46,4,15,10,13,6,20,12,6,1,13,15,62,0.16393442622950818,0.9230769230769231
