,Temple ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alliya Butts,12,19,8,11,4,8,0,0,0,2,1,2,0,1,0,28,0.0,1.0
1,Feyonda Fitzgerald,6,17,6,14,0,3,4,4,1,4,6,0,0,3,2,16,0.23529411764705882,2.0
2,Tanaya Atkinson,3,14,3,11,0,3,2,5,8,6,4,0,0,2,1,8,0.14285714285714285,2.0
3,Ruth Sherrill,5,11,5,11,0,0,0,0,2,3,0,3,0,2,3,10,0.0,0.0
4,Safiya Martin,0,0,0,0,0,0,2,2,0,6,0,1,0,1,2,2,0.0,0.0
9,School Totals,29,71,25,55,4,16,8,11,12,24,13,6,0,9,11,70,0.11267605633802817,1.4444444444444444
