,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maite Cazorla,2,7,1,4,1,3,0,0,1,3,3,3,0,1,1,5,0.0,3.0
1,Sabrina Ionescu,7,17,5,11,2,6,0,0,1,6,7,1,2,2,1,16,0.0,3.5
2,Ruthy Hebard,9,17,9,17,0,0,5,9,5,2,0,1,2,2,1,23,0.29411764705882354,0.0
3,Mallory McGwire,6,11,6,11,0,0,1,2,3,7,3,0,3,2,4,13,0.09090909090909091,1.5
4,Lexi Bando,2,7,1,2,1,5,0,0,1,3,2,1,0,0,0,5,0.0,0.0
8,School Totals,30,67,26,51,4,16,7,13,15,23,16,6,7,9,9,71,0.1044776119402985,1.7777777777777777
