,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexius Dawn,1,13,1,6,0,7,0,0,1,4,4,2,1,2,1,2,0.0,2.0
1,Ka'Nesheia Cobbins,4,12,3,11,1,1,2,2,1,3,5,2,0,2,2,11,0.16666666666666666,2.5
2,Taylor Gault,5,13,5,12,0,1,0,0,0,3,2,1,0,4,2,10,0.0,0.5
3,Kiera Clark,5,9,5,9,0,0,1,1,3,4,0,4,1,4,4,11,0.1111111111111111,0.0
4,Kaitlyn Pratt,6,7,6,7,0,0,0,0,2,1,0,1,0,0,4,12,0.0,0.0
9,School Totals,25,60,24,51,1,9,3,4,10,17,12,11,2,14,18,54,0.05,0.8571428571428571
