,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jasmine Thomas,26,.726,.688,.375,.250,0.0,19.2,10.8,33.6,4.5,0.0,0.0,17.6,168,54
1,Karima Christmas,26,.624,.556,.222,.333,9.9,11.5,10.8,25.2,6.8,0.0,8.8,22.4,137,53
2,Keturah Jackson,24,1.083,1.083,.167,.000,5.4,8.3,7.0,31.3,0.0,0.0,0.0,12.9,216,68
3,Krystal Thomas,22,.217,.200,.000,.800,5.9,22.7,15.4,15.0,0.0,8.9,30.7,22.8,49,56
4,Joy Cheek,18,.252,.200,.200,.400,7.2,16.7,12.5,9.3,0.0,0.0,25.4,22.5,57,64
6,Bridgette Mitchell,20,.508,.250,.250,1.000,12.9,15.0,14.1,16.7,5.9,14.6,14.8,17.4,123,42
7,Kathleen Scheer,16,.808,.750,.750,.500,16.1,12.5,14.1,0.0,0.0,0.0,0.0,15.7,185,68
8,Allison Vernerey,14,.472,.500,.000,.125,18.4,42.9,32.2,0.0,4.2,13.9,10.6,34.7,95,34
9,Chelsea Hopkins,13,.510,.333,.000,1.333,9.9,7.7,8.7,0.0,4.5,0.0,29.6,26.8,86,58
10,Shay Selby,13,.000,.000,.333,.000,0.0,15.4,8.7,0.0,0.0,0.0,25.0,15.8,0,65
11,Alexis Rogers,8,.000,.000,.500,.000,0.0,12.5,7.0,0.0,7.4,0.0,0.0,12.9,0,50
12,School Totals,200,.534,.491,.228,.386,38.7,82.5,63.4,57.7,14.7,17.1,14.0,100.0,105.9,54.4
