,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anna Wilson,5,6,4,5,1,1,2,3,1,5,2,3,0,0,2,13,0.3333333333333333,0.0
1,Kiana Williams,6,12,2,4,4,8,0,0,1,3,4,1,0,0,1,16,0.0,0.0
2,Haley Jones,4,7,3,5,1,2,2,4,1,7,5,1,0,1,1,11,0.2857142857142857,5.0
3,Lexie Hull,2,9,1,4,1,5,4,4,0,1,1,1,0,2,2,9,0.4444444444444444,0.5
4,Cameron Brink,3,4,2,3,1,1,0,0,1,2,0,0,5,1,3,7,0.0,0.0
12,School Totals,33,71,18,39,15,32,8,13,13,31,24,8,7,10,12,89,0.11267605633802817,2.4
